zeichnung;ventiltype;innenrate;aussenrate;beipruefdruck;innenzeit;aussenzeit;bemerkungen;modifiedBy
454091;DIA46/2–86,5CD;0,39;0,39;5;_;_;_;
454286;DIA200/1-DIA106/3;1,48;0,496;5;_;_;Nur Innenseite prüfen;
454344;207CE/134R;2,38;1,615;5;_;_;Nur Innenseite prüfen;
454485;207CE/134R1;2,38;1,615;5;_;_;HKS 02.2886 und 207CE/134R - 454485;stu
454600;DIA56/1-DIA56/1;0,159;0,11;5;_;_;Innen. Prüfung mög. HKS 02.4432;
454618;DIA45/DIA70,5;0,229;0,208;5;_;_;_;
454626;DIA93/DIA133;1,349;0,591;5;_;_;_;
454768;119CDP/102CDP;0,501;0,61;5;_;_;_;
454920;50CI/48CDD;0,136;0,118;5;_;_;50C/48CDD: 421341 / 50CI/24C: 468505;
455069;80CGY/128CE;1,138;1,065;5;_;_;80 CGY/128 CE 422732;
455173;174R/295CGK;4,3;5,446;5;_;_;_;
455203;98CROK/145CEK;1,328;1,573;5;_;_;98CROK/145CE 446666;
455219;60ROK/94CD;0,647;0,515;5;_;_;60ROK/94CD 584385;
455242;42ROK/77CD;0,341;0,414;5;_;_;42 R2/77 CD 449587;
455346;105R1/154CE;1,785;1,678;5;_;_;105 R1/154 CE 088497;
455886;37R/62C;0,179;0,185;5;_;_;37 R1/62 C 423715 + Kling.;
455909;19C/38C;0,052;0,108;5;_;_;_;
455912;19C/38C;0,052;0,108;5;_;_;_;
456121;DIA114/4-192/2;1,925;2,04;5;_;_;DIA114/4-192/2 456121 + DIA162/98R1 118488;
456492;50CI/48CDD;0,136;0,118;5;_;_;50C/48CDD: 421341 / 50CI/24C: 468505;
456809;82C/70ED;0,617;0,487;5;_;_;82 C/70 ED 424570;
456818;34C/17C;0,046;0,097;5;_;_;34 C/17 C 426099;
456910;37R/62C;0,18;0,339;5;_;_;_;
456935;37R1/62C;0,186;0,185;5;_;_;37 R1/62 C 553398;
457024;DIA200/1-DIA106/3;1,48;0,496;5;_;_;Nur Innenseite prüfen;
457025;DIA200/1-DIA106/3;1,48;0,496;5;_;_;Nur Innenseite prüfen;
457284;207CE/134R;2,38;1,615;5;_;_;HKS 02.28860;
457405;35CU/68C;_;_;30/20;0,6;0,5;35 CU/68 C 442784;
457619;50CDK/41CU;0,183;0,268;5;_;_;50-CIK/41 CU 462809;
458653;60R2/104CD;0,647;0,578;5;_;_;60 R2/104 CD 049773;
459194;98RX/145E;1,322;1,574;5;_;_;98RX/145E 544678 (Zus. 583245);
459462;70R2/104CD;0,84;0,585;5;_;_;_;
459540;DIA120/1-DIA89/1;0,441;0,275;5;_;_;_;
459664;98CROK/145CEK;1,324;1,235;5;_;_;_;
459665;79CROK/128CROK;0,861;1,062;5;_;_;_;
459666;19C/38CK;0,052;0,109;5;_;_;_;
459829;105RX/165CE;1,785;1,365;5;_;_;105RX/165CE 459829 + 105R1/165CE 093413;
460542;134R/207CE;2,37;2,23;5;_;_;_;
460589;DIA17/1-DIA34/1;0,047;0,097;5;_;_;17/1-34/1 147836;
460956;DIA56/1-DIA56/1;0,154;0,154;5;_;_;_;
461004;250CE/157CGD;2,778;2,298;5;_;_;_;
461530;DIA46/2–86CD;0,4;0,449;5;_;_;DIA 46/2 – 86,5 CD 454091;
461964;24R1/54C;_;_;100/70;1,25;0,65;40-417301-A;
462170;DIA82–DIA82;0,416;0,416;5;_;_;HKS 02.3805;
462186;41CI/29CD(O);0,078;0,078;5;_;_;HKS 41 CI/29 CD 02.4917;
462809;50CIK/41CU;0,182;0,268;5;_;_;_;
462871;50C/48CDD;0,136;0,268;5;_;_;50 C/48 CDD 421341;
462924;41CI/29C10;0,086;0,086;5;_;_;HKS 41 CI/29 CD 02.4917;
462938;41CI/29C10;0,082;0,085;5;_;_;HKS 41 CI/29 CD 02.4917;
463689;41CI/29CD(O);0,078;0,078;5;_;_;HKS 41 CI/29 CD 02.4917;
463932;41CI/29CD(O);0,079;0,079;5;_;_;HKS 41 CI/29 CD 02.4917;
464106;60R2/94CD;0,65;0,515;5;_;_;Innen 60RX/104CD: 47827 / Auß.60R2/86CD: 088080;
464321;50CI/48CDD;0,136;0,118;5;_;_;50C/48CDD: 421341 / 50CI/24C: 468505;
464447;46GN1/81ER1;0,236;0,241;5;_;_;_;
464450;39GN2/66ER1G;0,276;0,36;5;_;_;_;
464544;DIA82–DIA82;0,416;0,416;5;_;_;HKS 02.3805;
464630;79RLX/120CD;0,856;0,675;5;_;_;_;
465005;50CDK/41CU;0,183;0,268;5;_;_;50-CIK/41 CU 462809;
465119;DIA136/5-232/3;2,681;3,656;5;_;_;_;
465123;DIA106/5-DIA166/2;1,956;1,761;5;_;_;_;
465127;DIA65/3–DIA105/1;0,691;0,569;5;_;_;52 R2/96 CD 442344;
465130;DIA40/2–DIA71/1;0,276;0,378;5;_;_;42 DX/68 CD 452254;
465133;DIA29/1–49/1;0,128;0,143;5;_;_;_;
465256;154R2/227CE;3,27;2,47;5;_;_;_;
465257;88R4/133CE;1,188;1,432;5;_;_;_;
465258;30R1/54C;0,136;0,165;5;_;_;_;
465343;42DX/68CD;0,219;0,373;5;_;_;42 DX/68 CD 452254;
465346;30R1/54C;0,136;0,165;5;_;_;DIA 29/1 – DIA 49/1 465133;
465370;30R1/54C;_;_;50/30;0,9;0,74;30R1/54C1 421269;
343227;62C/30R;_;_;100/70;0,59;0,52;neu;
465882;50C/48CDD;0,136;0,268;5;_;_;50 C/48 CDD 421341;
465889;42R2/86CD;0,341;0,487;5;_;_;42 RLX/401 SRE 405228;
465892;30R1/54C;0,136;0,165;5;_;_;Keine HD lt. HAT, DIA29/1-62/1:470580;
466260;105R4X/165CE;1,785;1,365;5;_;_;105 R1/164 CE 087627;
466671;78CD/42RL;0,271;0,36;5;_;_;_;
466873;DIA40/2–DIA68/1;0,293;0,379;5;_;_;_;
467029;50CK/57CU;0,269;0,273;5;_;_;_;
467218;78CD/42RL;0,271;0,438;5;_;_;78 CD/42 RL;
467219;78CD/42RL;0,271;0,438;5;_;_;78 CD/42 RL;
467363;DIA43/2–DIA65/1;0,322;0,363;5;_;_;_;
467598;88CG2/140CE;1,267;1,392;5;_;_;88 CG2/140 CE 071939;
467599;52R2/86CD;0,445;0,47;5;_;_;52 R2/86 CD 051153;
467604;37R1/62C;0,186;0,185;5;_;_;37 R1/62 C 416912;
468123;101CHY/154CE;1,96;1,68;5;_;_;_;
468147;68CDK/52CEK;0,379;0,37;5;_;_;Innen Prüfung mög.;
468505;50CI/24C;0,065;0,118;5;_;_;50C/48CDD: 421341 / 50CI/24C: 468505;
468588;80CGY/128CE;1,184;1,065;5;_;_;DIA82/3-123CD 149429;
468869;50C/48CDD;0,136;0,268;5;_;_;50 C/48 CDD 421341;
468999;50CI/48CDD;0,136;0,118;5;_;_;50C/48CDD: 421341 / 50CI/24C: 468505;
469310;DIA56/3-DIA86/1;0,488;0,508;5;_;_;_;
469489;DIA56/3-DIA86/1;0,488;0,508;5;_;_;DIA 56/3 - DIA 86/1 569310;
469659;41CI/29C10;0,079;0,068;5;_;_;HKS 41 CI/29 CD 02.4917;
470260;104,5/5–156,5/2;1,937;1,72;5;_;_;_;
470422;DIA200/1-DIA152/1;0,806;0,496;5;_;_;105 R1/702 SRE 405226;
471299;34C/19R1;_;_;50/30;1,74;2,31;34 C/19 C 437218;
471351;45CEK/77CD;0,268;0,419;5;_;_;45CEK/77CD 587622;
472387;30R/54C;_;_;50/30;0,9;0,74;30R1/54C 465370;
499127;30R/54C;_;_;50/30;0,9;0,74;30R1/54C1 421269;
472459;37ROK/62C;_;_;50/30;0,68;0,65;37 ROK/62 C 472459;
472488;34C/17C;_;_;50/30;1,3;2,8;34 C/17 C 426009;
472488;34C/17C;0,045;0,098;5;_;_;_;
472664;37RLX/65D;0,185;0,19;5;_;_;_;
473218;41CI/29CD(O);0,078;0,078;5;_;_;HKS 41 CI/29 CD 02.4917;
473279;134R/207CE;2,37;2,23;5;_;_;134R1/ 207CE 050646;
473280;70R2/104CD;0,84;0,585;5;_;_;70 R2/104 CD 459462;
473301;79R1/120CD;0,975;0,67;5;_;_;79 R1/120 CD 413008;
473321;42RK/68CD;0,341;0,37;5;_;_;42 R2/68 CD 540576;
473443;DIA70/3-DIA100/1;1,149;0,749;5;_;_;_;
473449;DIA36/1-DIA60/1;0,17;0,32;5;_;_;_;
473473;69EO/119CD;0,52;0,357;5;_;_;70 ED/120 CD 431697;
474649;19C/38C;0,053;0,11;5;_;_;_;
512236;106CFD/180CE;1,296;1,87;5;_;_;_;
514085;98CG2/160CD;1,392;0,792;5;_;_;_;
516618;98R1/172CE;1,322;1,87;5;_;_;_;
516683;109CG2/190CE;1,56;2,03;5;_;_;_;
516910;145R1/200CE;3,06;2,22;5;_;_;_;
516911;117R1/168CE;2;1,43;5;_;_;_;
516970;88R4/140CE;1,3;1,16;5;_;_;_;
518911;60R/135CE;_;_;5;_;_;Nicht lesbar auf Zus.;
520005;134R/207CE;2,37;2,23;5;_;_;134R1/ 207CE 050646;
520705;88R4/140CE;1,3;1,16;5;_;_;88 R4/140 CE 516970;
520935;79R2/128CE;0,975;1,066;5;_;_;79 R2/128 CE 527676;
523299;134R2/207CE;2,374;2,236;5;_;_;_;
